id,category,app_name,website,docs_url,one_line_description,auth_methods,credential_access,self_serve_status,api_surface,mcp_available,buildability,main_blocker,evidence_urls,confidence,verification_notes
1,CRM and Sales,Salesforce,https://www.salesforce.com,https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_what_is_api.htm,Enterprise customer relation management and sales automation platform.,"OAuth 2.0 (JWT Bearer flow, Web Server flow)","Self-serve developer org creation, but production access requires administrator setup.",mixed,"REST API, SOAP API, Bulk API, Streaming API, Metadata API",Official MCP,Buildable,Enterprise administrator configuration and JWT certificate setup requirements.,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_what_is_api.htm, https://developer.salesforce.com/blogs/2025/02/announcing-salesforce-hosted-mcp-servers",Medium,Verified hosted Salesforce MCP server announcement and REST API OAuth flows.
2,CRM and Sales,HubSpot,https://www.hubspot.com,https://developers.hubspot.com/docs/api/overview,"Inbound marketing, sales, and service platform with robust customer data.","OAuth 2.0, Private App Access Tokens (Bearer)",Self-serve creation of developer accounts and private app tokens inside workspace settings.,self-serve,"REST API, GraphQL API, Webhooks",No,Easy win,None,"https://developers.hubspot.com/docs/api/oauth-quickstart-guide, https://developers.hubspot.com/docs/api/graphql/graphql-overview",High,Verified self-serve private app access token setup and GraphQL endpoints.
3,CRM and Sales,Pipedrive,https://www.pipedrive.com,https://developers.pipedrive.com/docs/api/v1,Sales-focused CRM designed to help small and medium businesses manage deals.,"OAuth 2.0, Personal API Token",Self-serve developer sandbox account creation and API token generation in settings.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developers.pipedrive.com/docs/api/v1,High,Verified developer sandbox token generation in account settings.
4,CRM and Sales,Attio,https://www.attio.com,https://developers.attio.com/reference/authorization,"Modern, data-driven CRM designed for real-time collaborative workspace workflows.","OAuth 2.0, API Keys (Bearer)",Self-serve creation of API keys via developer settings.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developers.attio.com/reference/authorization,High,Verified Bearer authentication token creation at build.attio.com.
5,CRM and Sales,Twenty,https://twenty.com,https://docs.twenty.com/developers/api-keys,Open-source CRM platform allowing full control over database tables and integrations.,"OAuth 2.0, API Keys (Bearer)",Self-serve creation via the settings panel in self-hosted or cloud workspaces.,self-serve,"REST API, GraphQL API, Webhooks",No,Easy win,None,https://docs.twenty.com/developers/api-keys,High,Verified open-source deployment provides instant local API key generation.
6,CRM and Sales,Podio,https://www.podio.com,https://developers.podio.com/index/api,Collaborative work management platform featuring custom app builders and workspaces.,"OAuth 2.0, App Authentication (App ID + App Token)",Self-serve generation of API keys in account settings; app-specific tokens are in app settings.,self-serve,"REST API, Webhooks",No,Buildable,"Rate limits and complex hierarchical structures (workspaces, apps, items).",https://developers.podio.com/index/api,High,Verified App Auth flow using App ID and App Token.
7,CRM and Sales,Zoho CRM,https://www.zoho.com/crm,https://www.zoho.com/crm/developer/docs/api/v6/,Multichannel CRM platform serving global sales teams.,OAuth 2.0,Self-serve client registration via the Zoho API Console.,self-serve,"REST API, Webhooks",No,Buildable,"Requires handling of regional domain routing (US, EU, IN, AU, JP) for API endpoints.",https://www.zoho.com/crm/developer/docs/api/v6/,High,Checked Zoho developer docs and regional routing setup.
8,CRM and Sales,Close,https://www.close.com,https://developer.close.com/#authentication,"Inside sales CRM featuring built-in calling, email, and SMS outreach features.","API Keys, OAuth 2.0",Self-serve generation of API keys directly in the user settings panel.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developer.close.com/#authentication,High,Verified API keys use HTTP Basic Auth with the key as the username.
9,CRM and Sales,Copper,https://www.copper.com,https://developer.copper.com/#authentication,Google-centric CRM that integrates deeply with Google Workspace apps.,"API Keys (Custom Header), OAuth 2.0",Self-serve API keys in settings; OAuth apps require developer registration.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developer.copper.com/#authentication,High,Checked custom headers: X-PW-AccessToken and X-PW-UserEmail.
10,CRM and Sales,DealCloud,https://api.docs.dealcloud.com,https://api.docs.dealcloud.com,"CRM and deal management platform customized for private equity, IB, and corporate development.",OAuth 2.0 Client Credentials,Gated. API keys must be enabled by a System Admin in user group configuration.,gated,"REST API, Swagger/OpenAPI docs",No,Buildable with caveats,Gated developer access requiring enterprise permissions and administrator setup.,https://api.docs.dealcloud.com,Medium,Confirmed that active enterprise client credentials are required for integration.
11,Support and Helpdesk,Zendesk,https://www.zendesk.com,https://developer.zendesk.com/api-reference/,Customer service software and ticketing support platform.,"OAuth 2.0, API Tokens (Basic Auth with /token suffix)",Self-serve creation of API tokens in the Zendesk Admin Center.,self-serve,"REST API, Chat API, Talk API, Webhooks",No,Easy win,None,https://developer.zendesk.com/documentation/ticketing/getting-started/api-basics/,High,Verified API token generation process under ticketing administration.
12,Support and Helpdesk,Intercom,https://www.intercom.com,https://developers.intercom.com/building-apps/docs,"Customer messaging platform with automated chatbots, help center, and inbox support.","OAuth 2.0, Access Tokens (Private Apps)",Self-serve API access token generation via the Intercom Developer Hub.,self-serve,"REST API, Webhooks, Canvas Kit",No,Easy win,None,https://developers.intercom.com/building-apps/docs/authentication-and-authorization,High,Verified private app token generation in the Intercom settings panel.
13,Support and Helpdesk,Freshdesk,https://www.freshdesk.com,https://developers.freshworks.com/docs/api/freshdesk/v2/,Cloud-based customer support software and helpdesk platform.,API Key (Basic Auth),Self-serve API key retrieval from profile settings.,self-serve,"REST API, Webhooks",No,Easy win,Lack of standard OAuth 2.0 for third-party REST API integrations.,https://developers.freshworks.com/docs/api/freshdesk/v2/,High,Verified that API uses key-based Basic Auth exclusively for outer REST integrations.
14,Support and Helpdesk,Front,https://www.front.com,https://dev.frontapp.com/reference/,Customer operations platform that brings shared inboxes and communications together.,"OAuth 2.0, API Tokens (Bearer)",Self-serve API token generation via settings; OAuth apps managed in developer portal.,self-serve,"REST API, Webhooks",No,Easy win,None,https://dev.frontapp.com/docs/getting-started,High,Verified Front core REST API token configuration process.
15,Support and Helpdesk,Pylon,https://usepylon.com,https://docs.usepylon.com/reference/,"Customer support platform built for B2B teams working on Slack, Teams, and email.",Bearer Token (API Key),Self-serve for admin users via the Pylon settings dashboard.,self-serve,"REST API, Webhooks",No,Easy win,None,https://docs.usepylon.com/reference/,High,Verified Pylon developer API docs and Bearer token usage.
16,Support and Helpdesk,LiveAgent,https://www.liveagent.com,https://support.liveagent.com/840770-Complete-API-reference,Omnichannel helpdesk and live chat software.,API Key (v3 API),Self-serve API key creation in Settings -> System -> API.,self-serve,"REST API v3, Webhooks",No,Easy win,None,https://support.liveagent.com/840770-Complete-API-reference,High,Checked LiveAgent v3 REST references under helpdesk configurations.
17,Support and Helpdesk,Plain,https://www.plain.com,https://docs.plain.com/api-reference/graphql-api,Modern customer support platform featuring a highly-optimized developer API.,API Key (Bearer),Self-serve API key creation under settings -> Machine Users.,self-serve,"GraphQL API, Webhooks",Third-party MCP,Easy win,GraphQL-only API surface requires querying schema and formatting operations.,"https://docs.plain.com/api-reference/graphql-api, https://github.com/plain-dev/mcp-server",High,Verified GraphQL endpoint and the existence of plain-dev mcp-server.
18,Support and Helpdesk,Help Scout,https://www.helpscout.com,https://developer.helpscout.com/mailbox-api/,Conversational email and support platform for customer-facing teams.,"OAuth 2.0 (Inbox v2), API Keys (Docs API)",Self-serve app creation under My Apps in profile settings.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developer.helpscout.com/mailbox-api/get-started/,High,Verified OAuth client credentials authorization specs.
19,Support and Helpdesk,Gorgias,https://www.gorgias.com,https://developers.gorgias.com/reference/,E-commerce customer support helpdesk integrating with Shopify and Magento.,"API Key (Basic Auth), OAuth 2.0",Self-serve API key extraction from Settings -> Account -> REST API.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developers.gorgias.com/reference/authentication,High,Checked HTTP Basic Auth rules with API keys.
20,Support and Helpdesk,Gladly,https://www.gladly.com,https://developer.gladly.com/rest/,Enterprise customer service platform designed around individual customer profiles.,API Token (Basic Auth),Gated. Needs 'API User' privileges assigned by an organization administrator.,gated,"REST API, Webhooks, Lookup API",No,Buildable with caveats,Enterprise-gated account permissions and credentials access.,https://developer.gladly.com/rest/#section/Authentication,Medium,Verified that API is gated by specific role settings in Gladly Admin panel.
21,Communications and Messaging,Slack,https://www.slack.com,https://api.slack.com/methods,Channel-based team messaging and workspace collaboration tool.,"OAuth 2.0 (Bot Token, User Token)",Self-serve app creation and token generation at api.slack.com/apps.,self-serve,"Web API (HTTP RPC), Socket Mode, Events API, Webhooks",Official MCP,Easy win,None,"https://api.slack.com/authentication, https://github.com/modelcontextprotocol/servers/tree/main/src/slack",High,Verified official slack MCP server repository.
22,Communications and Messaging,Twilio,https://www.twilio.com,https://www.twilio.com/docs/usage/api,"Developer platform for SMS, voice calls, video, and verification APIs.",API Keys (Basic Auth with Account SID/Auth Token),Self-serve account creation and token generation on Twilio console.,self-serve,"REST API, Webhooks, SDKs",Official MCP,Easy win,None,"https://www.twilio.com/docs/usage/api-keys, https://mcp.twilio.com/docs",High,Verified Twilio hosted MCP server schemas and discovery tools.
23,Communications and Messaging,Zoho Cliq,https://www.zoho.com/cliq,https://www.zoho.com/cliq/developer/docs/api/,"Business communication software with channels, bots, and app integrations.",OAuth 2.0,Self-serve creation via the Zoho API console.,self-serve,"REST API, Webhooks",No,Buildable,Regional multi-datacenter redirect URLs.,https://www.zoho.com/cliq/developer/docs/api/,High,Checked Cliq developer API console options.
24,Communications and Messaging,Lark / Larksuite,https://open.larksuite.com,https://open.larksuite.com/document/,"Enterprise collaboration platform combining chat, documents, and meetings.","OAuth 2.0 (Tenant Access Token, User Access Token)",Self-serve app creation and token generation on the Lark Open Platform portal.,self-serve,"REST API, Event Subscription, Webhooks",No,Easy win,None,https://open.larksuite.com/document/home/introduction-to-scope-and-authorization/authorization-guide,High,Verified Lark suite open platform self-serve access.
25,Communications and Messaging,Pumble,https://pumble.com,https://developer.pumble.com/,Team chat and collaboration tool similar to Slack.,"API Key, OAuth 2.0",Self-serve API keys via the API Addon inside workspace settings.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developer.pumble.com/,High,Verified Pumble CLI and SDK token headers.
26,Communications and Messaging,Discord,https://discord.com,https://discord.com/developers/docs/intro,"Voice, video, and text communication platform serving communities.","Bot Token, OAuth 2.0",Self-serve bot token and client credentials on the Discord Developer Portal.,self-serve,"REST API, Gateway (WebSockets), Webhooks",No,Easy win,None,https://discord.com/developers/docs/topics/oauth2,High,Verified developer portal application authorization setup.
27,Communications and Messaging,Telegram,https://core.telegram.org,https://core.telegram.org/bots/api,Cloud-based mobile and desktop messaging app focused on speed and security.,Bot Token,Self-serve bot creation and token retrieval using @BotFather.,self-serve,"REST API (HTTP Bot API), MTProto Protocol (for client connections)",Third-party MCP,Easy win,None,"https://core.telegram.org/bots/api#authorizing-your-bot, https://github.com/xingyuchen/telegram-mcp",High,Verified Bot API token structure and community MCP projects.
28,Communications and Messaging,WhatsApp Business,https://developers.facebook.com/docs/whatsapp,https://developers.facebook.com/docs/whatsapp/cloud-api,Messaging API letting business accounts send texts and media programmatically.,Bearer Access Token,Self-serve token generation via Meta for Developers portal.,self-serve,"REST API, Webhooks",No,Buildable with caveats,Production scale requires official Meta Business Portfolio verification.,https://developers.facebook.com/docs/whatsapp/cloud-api/get-started,Medium,Verified that scale limit requires manual business verification.
29,Communications and Messaging,Aircall,https://aircall.io,https://developer.aircall.io/,Cloud-based call center software integrating telephony into helpdesks and CRMs.,"Basic Authentication, OAuth 2.0",Self-serve Basic API keys inside dashboard; OAuth app registration requires sales contact.,mixed,"REST API, Webhooks",No,Buildable,Telephony configuration requires setup; OAuth apps must be approved by the partner team.,https://developer.aircall.io/#authentication,High,Checked Aircall developer sandbox settings.
30,Communications and Messaging,Vonage,https://developer.vonage.com,https://developer.vonage.com/api/,"Global communications API provider for SMS, voice, and video messaging.","API Key & Secret (Basic Auth), JWT Bearer Token",Self-serve creation of API keys and Application IDs on the Vonage Dashboard.,self-serve,"REST API, SDKs, Webhooks",No,Easy win,None,https://developer.vonage.com/en/getting-started/concepts/authentication,High,Verified Basic and JWT token details on Vonage developer hub.
31,Marketing Ads Email and Social,Google Ads,https://developers.google.com/google-ads,https://developers.google.com/google-ads/api/docs/start,Advertising platform letting businesses run ads on Google Search and YouTube.,OAuth 2.0 + Developer Token,Gated developer token application process; OAuth keys generated via Google Cloud project.,gated,"REST API (JSON), gRPC API",Official MCP,Buildable with caveats,Required developer token approval review and compliance levels (Basic vs Standard access).,"https://developers.google.com/google-ads/api/docs/first-request, https://github.com/google/google-ads-mcp",Medium,Verified official Google Ads MCP server features.
32,Marketing Ads Email and Social,Meta Ads,https://developers.facebook.com/docs/marketing-apis,https://developers.facebook.com/docs/marketing-apis,"Marketing platform for creating and analyzing ads on Facebook, Instagram, and Messenger.","OAuth 2.0 (User Access Token, System User Token)",Mixed. Standard app setup is self-serve; full access requires App Review.,mixed,"REST API (Graph API), Webhooks",No,Buildable with caveats,Strict Meta App Review process and business verification requirements for production limits.,https://developers.facebook.com/docs/marketing-api/overview,Medium,Verified that API is gated by Facebook App Review.
33,Marketing Ads Email and Social,LinkedIn Ads,https://learn.microsoft.com/linkedin/marketing,https://learn.microsoft.com/en-us/linkedin/marketing/,B2B social network advertising platform for targeted marketing campaigns.,OAuth 2.0,Gated. Requires creating an app in the LinkedIn Developer Portal and submitting an access request form.,gated,REST API,No,Outreach needed,Access to LinkedIn Marketing Developer Program requires manual application review and approval.,https://learn.microsoft.com/en-us/linkedin/shared/authentication/authorization-code-flow,Medium,Verified that API requires developer application review.
34,Marketing Ads Email and Social,GoHighLevel,https://highlevel.stoplight.io,https://highlevel.stoplight.io/,"White-label marketing, automation, and funnel builder for agencies.","OAuth 2.0, API Keys (v2 API)",Self-serve API keys in settings; OAuth apps created on developer marketplace dashboard.,self-serve,REST API (v2),No,Easy win,None,https://highlevel.stoplight.io/docs/ghl-api-v2/introduction,High,Verified GoHighLevel API v2 OAuth setup.
35,Marketing Ads Email and Social,Mailchimp,https://mailchimp.com/developer,https://mailchimp.com/developer/,Popular email marketing platform and automated campaign manager.,"API Key, OAuth 2.0",Self-serve API key creation in user account dashboard settings.,self-serve,"REST API v3, Webhooks",No,Easy win,None,https://mailchimp.com/developer/marketing/docs/fundamentals/#authenticate-with-an-api-key,High,Verified API key Basic Auth format.
36,Marketing Ads Email and Social,Klaviyo,https://developers.klaviyo.com,https://developers.klaviyo.com/en/reference/,E-commerce-focused marketing automation and email delivery platform.,"Private API Key (Custom Authorization header), OAuth 2.0",Self-serve private API key generation within Account settings.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developers.klaviyo.com/en/reference/authentication,High,Checked custom Klaviyo authorization headers.
37,Marketing Ads Email and Social,systeme.io,https://systeme.io,https://systeme.io/api-documentation,"All-in-one marketing platform for sales funnels, email marketing, and online courses.",API Key (Custom Header),Self-serve creation in user profile settings panel.,self-serve,REST API,No,Easy win,None,https://systeme.io/api-documentation,High,Verified API key documentation instructions.
38,Marketing Ads Email and Social,Pinterest,https://developers.pinterest.com,https://developers.pinterest.com/docs/api/v5/,"Visual discovery network with marketing, pin management, and catalog integrations.",OAuth 2.0,Self-serve application registration inside the Pinterest Developer Console.,self-serve,"REST API (v5), Webhooks",No,Easy win,None,https://developers.pinterest.com/docs/api/v5/#tag/Authentication,High,Verified Pinterest v5 REST API authentication schemas.
39,Marketing Ads Email and Social,Threads,https://developers.facebook.com/docs/threads,https://developers.facebook.com/docs/threads,Text-based social network API for publishing posts and reading interactions.,OAuth 2.0,Self-serve app registration in Meta Developer dashboard.,self-serve,REST API (Graph API),No,Easy win,None,https://developers.facebook.com/docs/threads/getting-started,High,Verified Threads Graph API endpoints.
40,Marketing Ads Email and Social,SendGrid,https://sendgrid.com,https://docs.sendgrid.com/api-reference,Transactional and marketing email delivery infrastructure.,API Key (Bearer),Self-serve generation under API Keys in the SendGrid console.,self-serve,"REST API v3, Webhooks",No,Easy win,None,https://docs.sendgrid.com/api-reference/how-to-use-the-sendgrid-v3-api/authentication,High,Verified standard Bearer key headers.
41,Ecommerce,Shopify,https://shopify.dev,https://shopify.dev/docs/api/admin-graphql,Cloud e-commerce platform letting merchants build online stores.,"OAuth 2.0, Custom App Access Token",Self-serve creation in the Shopify Partner Dashboard or Admin Panel.,self-serve,"GraphQL Admin API, REST Admin API, Storefront API, Webhooks",Official MCP,Easy win,None,"https://shopify.dev/docs/apps/auth/admin-access-tokens, https://shopify.dev/docs/api/mcp",High,Verified Shopify official MCP server support.
42,Ecommerce,WooCommerce,https://woocommerce.com/document/woocommerce-rest-api,https://woocommerce.github.io/woocommerce-rest-api-docs/,Open-source e-commerce plugin built for WordPress.,Consumer Key & Secret (Basic Auth or OAuth 1.0a),Self-serve creation in the WordPress admin panel under WooCommerce settings.,self-serve,"REST API, Webhooks",No,Easy win,Self-hosted configurations can lead to HTTPS routing or authentication issues.,https://woocommerce.github.io/woocommerce-rest-api-docs/#authentication,High,Verified WooCommerce Basic Auth integration rules.
43,Ecommerce,BigCommerce,https://developer.bigcommerce.com,https://developer.bigcommerce.com/docs/rest-api,SaaS e-commerce platform for fast-growing and enterprise brands.,API Token (OAuth),Self-serve API credential creation in the store control panel.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developer.bigcommerce.com/docs/start/authentication,High,Verified custom HTTP token header rules.
44,Ecommerce,Salesforce Commerce Cloud,https://developer.salesforce.com/docs/commerce,https://developer.salesforce.com/docs/commerce/commerce-api,Enterprise cloud e-commerce system featuring multi-site store configurations.,OAuth 2.0 (Account Manager),Gated. Requires enterprise credentials and sandbox organization access.,gated,"Salesforce Commerce API (SCAPI), Open Commerce API (OCAPI)",No,Outreach needed,No public self-serve sandbox; requires active Salesforce Business account.,https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html,Medium,Confirmed sandbox access is restricted to enterprise accounts.
45,Ecommerce,Magento / Adobe Commerce,https://developer.adobe.com/commerce,https://developer.adobe.com/commerce/webapi/,Highly customizable e-commerce platform built for medium and enterprise merchants.,"Integration Tokens, Admin Token (Basic Auth)",Self-serve (for self-hosted instances) inside the admin panel under Integrations.,self-serve,"REST API, GraphQL API",No,Buildable,Integration setup relies on database-level settings and custom key generation.,https://developer.adobe.com/commerce/webapi/get-started/authentication/,High,Verified integration token setup.
46,Ecommerce,Squarespace,https://developers.squarespace.com,https://developers.squarespace.com/commerce-api,Sleek website builder offering e-commerce storefront features.,API Key,Gated. API key tab is only visible on active Squarespace Business/Commerce plans.,gated,REST Commerce API,No,Buildable with caveats,Requires a paid plan to obtain credentials; no free developer sandboxes available.,https://developers.squarespace.com/commerce-api/authentication,Medium,Confirmed no free developer sandboxes exist.
47,Ecommerce,Ecwid,https://api-docs.ecwid.com,https://api-docs.ecwid.com/,Modular e-commerce shopping cart widget that can be embedded on any site.,"OAuth 2.0, Access Token (API Key)",Self-serve app registration in the Ecwid developer panel.,self-serve,"REST API, Webhooks",No,Easy win,None,https://api-docs.ecwid.com/reference/authentication,High,Verified standard Bearer token specs.
48,Ecommerce,Gumroad,https://gumroad.com/api,https://gumroad.com/api,Simple checkout platform tailored for creators and digital product distribution.,"OAuth 2.0, Personal Access Token",Self-serve token creation via developer settings panel.,self-serve,REST API,No,Easy win,None,https://gumroad.com/api#authentication,High,Checked user dashboard token extraction.
